original_index,AirlineName,CabinType,OverallScore,Recommended,Review,lda_topic,lda_topic_probability,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
2704,British Airways,Premium Economy,5.0,no,"London to Vancouver return. British Airways is no longer good value for money. The cost of Premium Economy compared with the quality of service, food, and the general age of the plane make this a fairly pointless exercise. The plane in both directions was old and shabby, staff are fine, but don't really go out of their way to make it a pleasant experience. Particular bugbears were the inability to choose a seat when checking in online as soon as it opened (of course, you have the opportunity to pay an extra £40-£55 each way to choose a seat beforehand). The food quality seems to have declined in the past few years and on a 9pm return flight it took a good few hours to serve the Premium Economy cabin. The tv screens are dirty and small (the system had to be reset on the flight out, took quite a while). For almost double the price of Economy, I don't think it makes sense to fly World Traveller Plus on this route.",5,0.815637,0.001687,0.175927,0.001685,0.001693,0.001686,0.815637,0.001685
2705,VietJet Air,Economy Class,5.0,no,"Singapore to Ho Chi Minh City. Delays are very common on this airline. So it wasn't a surprise to find my flight delayed by 2 hours as well. Legroom was acceptable for a budget airline. Other than that the flight was fairly uneventful. I suppose if a traveller snags a good price travelling on this airline then it would be worthwhile, otherwise it pretty much isn't.",0,0.550213,0.550213,0.005115,0.005111,0.005122,0.005117,0.424185,0.005136
2706,Thomas Cook Airlines,Economy Class,4.0,no,Flew from Manchester to Sanford America and returned 2 weeks after. On our outgoing flight it was delayed over 2 hours when finally seated on the plane we were offered one complementary drink due to the delay on other long haul flights we have had complementary drinks throughout the flight. The televisions showed the same shows in the long time we were on the flight and had long breaks in-between shows where nothing could be watched. Travelling with two children is difficult any way but when flying long haul it would be nice to have something to entertain them. on our return flight again same problem with the televisions. We flew overnight and was given one pillow and blanket between three.,5,0.713452,0.00299,0.002984,0.002987,0.271619,0.002987,0.713452,0.002982
2707,South African Airways,Business Class,3.0,no,High chance you will be bumped off the flight you have booked and paid for. As tourists arriving via BA from LHR to Jo'burg for an SAA internal flight to Durban - after an hour and 15mins! Getting through immigration and still arriving at check-in desk 1hr before flight we were bumped. Desk lady was unhelpful and ignorant. Offered place on next flight (hour later). No refund offered. Possible to get a voucher for another flight valid for 12 months - not much use to tourists not planning on using their services again or be in SA in the near future. Eventually got ourselves upgraded to Business on the next flight and access to the lounge - not a great bonus during a 50 minute hop. Check-in as soon as possible and avoid JB airport their immigration set up is positively Dickensian. Your payment and booking does not guarantee you'll be on the flight.,5,0.327623,0.251452,0.001965,0.158138,0.001966,0.256886,0.327623,0.001969
2708,Jetairfly,Business Class,2.0,no,We recently traveled on from Mexico to Brussels and return. The reservation was made over 9 month ago a month prior to departure the airline changed many things: departure and arrival times class of service booked and even the type of plane used. However when we finally started our journey the plane was delayed 3.5 hours the comfort class booked did not have all the service elements described or offered from no blankets to many other things. Because the delay connections in Brussels were missed the airline offered zero help. On the return flight we booked a class of service which Jetairfly claimed is no longer available and therefore had to downgrade our booking. At the airport and in the plane there personal did not know the situation and confirmed that this is comfort class. If you have a choice of flying another carrier - please do.,4,0.432852,0.219042,0.002076,0.002081,0.002081,0.432852,0.27587,0.065998
2709,Avianca,Economy Class,1.0,no,Avianca failed to take me to my final destination and refused to take responsibility for my travel. I purchased a round trip ticket with them from IAD to LPB. Instead of going LPB to IAD via Bogota I was rerouted due to their delays. They rerouted me to LIMA and then LAX and left me there after 30h of travel! I had to purchase a last minute one way ticket on AA for $678 and am dealing with endless portals for complaints with Avianca and no one can take responsibility for the inconvenience and cost out of my pocket due to their mistakes! Incredibly incompetent and frustrating! Never fly them again! Btw - On the way to LPB bathrooms didn’t have toilet paper?,3,0.354097,0.002814,0.002811,0.313067,0.354097,0.282411,0.041981,0.002819
2710,PLAY,Economy Class,1.0,no,"Do not be sucked in by the low prices — nothing was worth the stress of the round trip I took with Play. By the end I had paid nearly an additional $250 for various catches, screw ups, and obstacles from this sin of an airline. This isn’t counting food or drinks — I packed my own — and bought my carry on luggage ahead of time. I flew from Baltimore to Reykjavik and hours before I arrived at the airport I tried several times to check in online. Each time the website was broken and I could not get a digital boarding pass. I arrived at the Baltimore airport, but the counter had closed an entire HOUR before the flight boarded, so there was no one to print a boarding pass and no kiosks. I ended up missing my flight because of this. I did not want to cancel my entire trip, so I paid for another ticket (an additional $110). I measured my suitcase in advance to be sure it fit the airline’s carry on requirements, and boarded my second attempt at getting to Iceland with no problem. Following these catastrophes I arrived at the airport 3 hours early in Reykjavik (KEF) for my return trip. I was told my suitcase (which I had measured and compared with Play’s online standards) was too large to go through security and was told to check it. I went back to the counters and explained the problem, and the attendants informed me I needed to show a negative COVID result to fly. I brought three rapid (antigen) tests with me, which the US accepts for re-entry, and said no problem, I was happy to take one. They said I needed a “certificate,” and apparently the only way to accomplish this was to take a cab to a nearby testing center ($35 round trip and pay for one of their antigen tests (same tests I had) which cost $54. None of this information was available on the airline’s website or any of the emails I received from them. At this point I was cutting it close, and the attendants made me wait another 25 min when I was back before I got my negative result. Finally, I was allowed in line to check my bag. I explained the issue with the carry on again, and that it fit their measurements, but they told me I had to purchase a checked bag instead. ($60) This was an addition to the carry on I had already purchased for this bag ($39) which they did not refund. I made it to the gate by just a few minutes. I cannot recommend visiting Iceland enough, but I would rather swim than take Play airline again.",1,0.461754,0.175247,0.461754,0.128778,0.000759,0.231945,0.000759,0.000758
2711,Lufthansa,Business Class,2.0,no,"I traveled from Frankfurt to Chicago. In spite of being the only passenger the service was very poor. The flight attendant disappeared fast. Food was very poor and limited, more like Economy. There were no sanitizers in the bathroom.  My bags were last to arrive in O'Hare.",5,0.646711,0.007173,0.10043,0.007175,0.224201,0.007154,0.646711,0.007157
2712,Turkish Airlines,Economy Class,1.0,no,"My flight time and durations were changed by Turkish Airlines and I requested to reschedule my flight on 18th of April as I was not comfortable with the changes. I have been calling Turkish Airlines 10 times now in 16 days but still there is no any action and my flight is in 3 days. Every time I call, the customer service tells my case is in High Priority and Urgent email has been sent and I would get the response asap. I am not getting what does the Word urgent mean to Turkish Airlines. It’s been 7 days, I have been hearing that my request is made urgent and I will get the response asap. I had another call today ie. The 10th call and I’m hearing the same answer — ‘my request is made urgent and I would get the response with in 48 hours’. But my flight would be in 72 hours, how would I prepare for the international flight if you give me the response in last minute. Also its a covid situation, there are many things to be done before onboarding. This is most irresponsible and most frustrating situation, and this was not expected from a company like Turkish Airlines. Thank you Turkish Airlines for wasting my time and thank you for thinking that our time has no value.",4,0.503489,0.00163,0.001627,0.436026,0.001629,0.503489,0.053972,0.001626
2713,WestJet Airlines,Economy Class,1.0,no,After being a loyal Westjet customer and cardholder for 15 years I’ll be cancelling my card and never flying WestJet again. My December 2022 flying experience and the service I received after when submitting claims (that Westjet agents told me to submit) and trying to discuss the responses was horrifying. I’ve never been treated with such disrespect and made to feel so unimportant. What happened to the old WestJet that was proud of their customer service and valued their customers? That feels like it was a lifetime ago.,4,0.886276,0.003407,0.003416,0.003415,0.003411,0.886276,0.003417,0.096658
2714,Ryanair,Economy Class,6.0,no,"Just returned from Lanzarote flying on the 4th Oct 2016. Did not bother to have a drink in the airport as thought we would wait until we were on the plane. They announced that as this was the last flight they were running short but did not say on what. When they did come round they said they had no milk or sugar, why could they not have got any when they landed at Lanzarote? It would not have taken much to have got someone to take some to the plane as suitcases and passengers were bording. It made the four hour flight bad and we had to have a cold drink, they charged us £4.80 for two small cans. Will try to fly easyJet next time or take our own drinks. ",0,0.42835,0.42835,0.205088,0.003263,0.003261,0.003263,0.353518,0.003257
2715,Openskies,Premium Economy,2.0,no,"✅ , |  Paris Orly to Newark. I used to be a fan, but things seem to be falling apart.  On April 2, 2016, we were called to board the plane, and at that moment, we were given the news the flight was cancelled due to mechanical issues. The information we received was chaotic. The female gate agent did not use the PA system and the message was in only one language. People could not hear details which raised the anxiety level within the group. We were led throughout the airport to clear customs, and pick up our checked luggage. We were finally sent to another counter on the other side of the terminal to deal with hotel and voucher procedures. Many followed blindly. We were told countless times to check our email to receive rebooking information from BA. It never arrived. I finally was able to get the gate agent to listen to me when I told her I called BA and they claimed the flight wasn't cancelled, thus the reason why none of us received a rebooking email. The gate agent was unaware that BA was oblivious. The BA agent on the phone told me that our flight was not cancelled. When I explained I cleared customs and currently have my checked in luggage returned and in my hands, she told me she couldn't help me because their screens did not show a cancellation. This was told to me after almost an hour had passed after we heard about the cancellation. Surreal. We were lucky. We were 2 out of 7 allowed to make the 13:40 flight out the next day. All of those folks booked for the same time the day following - cancelled again. I can't even imagine suffering a cancellation two times in a row. Unfortunately, this seems to be happening more than it should. There doesn't seem to be much support going out to this airline and it's unfortunate. In addition to this event, the seats in biz bed and premium economy are very worn and in some cases, the seats are not properly maintained and do not work. It's sad because this airline has such potential. I felt bad for the gate agents who attempted to handle the situation as best as they could. The gentleman (gate agent) was calm, cool and helpful, but it was clear they were all winging it with no support. We can no longer fly Openskies. We can't afford to gamble on when we might reach our destinations. I should also note they cancelled our original flight details on the return and moved us to the later flight about 2 months after booking. This has happened to us before. Had we been allowed to keep our original arrangement, we would have made it home instead of dealing with this.",2,0.372282,0.116256,0.00071,0.372282,0.000711,0.354243,0.15509,0.000709
2716,KLM Royal Dutch Airlines,Economy Class,1.0,no,Helsinki to Cardiff to via Amsterdam. I am so angry with the customer services of KLM so i want to write. My flight was been canceled on 25.7 they arrange me next flight on 26.7. A guy in KLM service counter in Helsinki airport told me I am eligible to get 400 euro refund from this changes so I apply for reclamation last week. Since then i am trying to find out my status of my refund process. I have been calling several times to customer service but it was one of the awful costumer services i have ever been dealing in my whole life time. Lady on my phone tells me she will transfer my call then hang up my call. This didn't happen one or two time but several times. They are so so irresponsible.,2,0.585035,0.002347,0.002348,0.585035,0.00235,0.403225,0.002347,0.002348
2717,British Airways,Business Class,1.0,no,"London to New York JFK. We were booked on Brussels Airlines, two of us, which cancelled the flight and rerouted us on BA. The flight BRU to London was fine but the transatlantic leg and Heathrow Airport Terminal 5 were utter nightmares. Never again will I go to or through Heathrow. However, this review is about BA's 747-400 to JFK an aircraft that was in such a sorry state that it should have been junked years ago. How does BA have the gall to call its service ""business class""? The seats were tiny and wrapped in plastic chicken coop partitions that rattled and even fell down on several occasions. Let me add that we faced backwards and looked at a filthy wall. Cabin service was friendly and the food was actually quite decent. Aside from that, I now understand why BA has such a horrendous and well-deserved reputation. Never again.",5,0.813133,0.002111,0.002108,0.002111,0.002112,0.090775,0.813133,0.087649
2718,AirAsia Philippines,Economy Class,1.0,no,"Awful airline, avoid at all costs. Firstly it was over an hour delayed with no explanation. The organisation by the staff was a total mess. Then herded into buses to get to the plane and left waiting on the bus for nearly half an hour while those in the previous flight got off (why couldn't this be done before?). Then totally inflexible and clueless cabin crew and took forever to get bags the other end (again zero communication or explanation for this, no respect for customers).",0,0.907756,0.907756,0.072858,0.003883,0.003876,0.00388,0.003872,0.003876
2719,Frontier Airlines,Premium Economy,1.0,no,"Flew Frontier Airlines from Denver to Washington Reagan. Terrible airline! I paid for the seat and the carry on bag. I ended up with a tiny tray that I couldn't work on. When I moved up one row to get a full sized tray, they charged me $50 right there on the plane. It was embarrassing. I will never use this airline again, especially for business travel. Pay more, take a layover, do anything to avoid this airline.",1,0.812845,0.004335,0.812845,0.004341,0.004356,0.00434,0.165443,0.00434
2720,American Airlines,Economy Class,1.0,no,"I had a flight from San Jose Costa Rica to Indianapolis with a connection in Miami. I had to go through customs and reclaim my bags before going to IND. My flight arrived at 8:04 with the next flight at 9:17. Got through immigration at 8:24. Bags didn't arrive until 8:56 and when I tried to re check them they said it was too late you and you can't make your flight. When I went to customer service they said the next days flights are all booked up there was no way to get from Miami to Indianapolis for another day and a half. No refunds, not even a bag fee. I had to buy ticket on Delta for $600 to get home. When I called customer service the wait was 8 hrs to get a person. This is by far the worst airline ever. In the last few years I have slept in more airports because of AA than I care to have. Do not fly this airline.",3,0.464929,0.00243,0.002434,0.397806,0.464929,0.127549,0.002425,0.002426
2721,Peach Aviation,Economy Class,1.0,no,"Fukuoka to Tokyo. Completely uncomfortable and full stupidity of the crew. Seat are so small I couldn't fit and I'm 190cm / 6ft 2. Could not sleep, could not work, could not eat. I asked to move to an exit row seat since there were 3 empty ones 3 rows before, but no. The stupidity of the flight attendants and their alienation to rules are stronger than common sense. I had to seat for 2 hours with my back completely twisted and my knees bothering my left neighbors.",1,0.548015,0.003779,0.548015,0.003771,0.003777,0.003768,0.433109,0.003781
2722,Air Juan,Economy Class,1.0,no,"Cebu City to Siquijor Island. Very unreliable airline. They cancelled our flight two hours before departure. The money paid has not been refunded so far, more than 6 weeks later, after their own set deadline!",4,0.646054,0.008432,0.008423,0.008414,0.228413,0.646054,0.008418,0.091846
2723,Southwest Airlines,Economy Class,1.0,no,On-time flights don't exist. I had 2 round trip flights in 2 weeks for a total of 4 departures. All 4 were 20-30 or more minutes late. 100% failure rate for that. Your luggage flies for free but that doesn't outweigh the chronic tardiness issue. If you want in flight entertainment you must download their app but I couldn't ever get it to work. User error I'm sure. At least they provided a quarter of a soda in a cup during the flight. If you book Southwest your flight will be late. That is the Southwest guarantee.,4,0.424337,0.206173,0.237311,0.003493,0.0035,0.424337,0.121695,0.003492
2724,Volaris,Economy Class,1.0,no,"Flying back from Mexico City Volaris canceled my flight and didn't notify me. At the airport they said it was my fault not theirs that I was stranded the agent said ""because my Volaris colleague attempted to contact you and couldn't"". They took no responsibility and offered no assistance, hotel, voucher, possible other flights, etc. The agent was rude and arrogant, This is not an airline you should travel with.",2,0.525091,0.004772,0.004774,0.525091,0.004787,0.451034,0.00477,0.004772
2725,Asiana Airlines,Business Class,5.0,no,26 June 2012. Flight Seoul Incheon - Bangkok. I travel at least 200'000 miles per year and always in business class with Star Alliance partners. This flight however was disappointing the plane an old 777 had old seats and the entertainment system was from the last century not what I expected from this airline. The staff was pleasant but the food was not up to standard.,5,0.609465,0.004473,0.004478,0.004471,0.004473,0.004477,0.609465,0.368163
2726,VietJet Air,Economy Class,1.0,no,"Chiang Mai to Bangkok. Everything is just terrible, extremely high prices for a low cost carrier. Both on my flight from BKK to CNX and CNX-BKK the cabin crew ordered me to sit down quickly since they felt i was blocking the aisle storing my hand luggage overhead. It is not like I was reaching for my bag to take out items whilst people were queuing up behind me. Just simply putting away my luggage after I arrived to my row like everybody would. Seems like the cabin crew here just gets selected based on having a pretty face, instead of looking for good looking girls who actually use common sensea. On the inbound flight to BKK we were told there would be a 10 min delay, no big deal I thought. But after arriving at the boarding gate the delay jumped up to a good 40 minutes without any further announcements/apologies made. When boarding started it was like all hell broke loose, people jumping queues, ground staff terrible at crowd control and we were standing waiting for 10 minutes in the jetway to the airplane for no obvious reason. After a good 10 minutes I saw one of the ground staff brining in a bag of Burger King(probably for the overworked captain/FO/cabin crew, it seemed to be the reason we had to wait so long in the jetway after boarding started for this “special delivery” There was also no special assistance nor attention for the very elderly lady seated next to me so after lading I helped her get her stuff from the overhead compartment before I ran off to find myself a taxi at Suvarnabhumi.",0,0.597548,0.597548,0.308543,0.001078,0.001077,0.001076,0.0896,0.001077
2727,SriLankan Airlines,Economy Class,3.0,no,Male via Colombo (where we changed plane) to Frankfurt. We had two quite old planes with extremely little legroom. Furthermore the onboard entertainment didn't work at all. On the second flight (CMB-FRA) even the reading lights didn't work. As it was very uncomfortable and we couldn't really sleep we also weren't able to read or watch a movie - 10hrs can be quite long. Also online check-in didn't work it told us our booking can't be found. Compared to any other Asian airlines this was very disappointing and we definitely won't be flying Sri Lankan again.,5,0.7771,0.002863,0.002868,0.208567,0.002865,0.002874,0.7771,0.002864
2728,Air China,Economy Class,4.0,no,Melbourne - Shanghai - Beijing - Stockholm and then reverse. Inflight entertainment was fine on the flights that included a personal screen but for both Stockholm-Beijing routes it was just one screen on the bulkheads. On one route the screen wasn't even working. Food varied from delicious (Melbourne - Shanghai) to poor to everywhere in between. The price I paid however made up for most of these gripes. I got to and from my destinations safely and on time. Even when we got stuck at the terminal in Beijing for over an hour due to no fault of the pilot we landed back in Melbourne on time. The toilets were always clean. Beware the hotel the airline will put you in for lengthy layovers. The airline will not help you find your way to and from the hotel. Overall very unpleasant but cheap and consistently on time. Take the good with the bad!,5,0.54456,0.002145,0.002143,0.053623,0.231161,0.002143,0.54456,0.164225
2729,Alitalia,Economy Class,,no,Alitalia from Heathrow to Rome was the worst flying experience I have had - December 22 and 23 2013. Horrible service no information after we were bumped. No one in charge no one taking care of passengers - 24 hour delay with a measly 5 pound voucher. I could not believe the horrible flight either - grumpy staff and terrible customer service - will not fly Alitalia again.,6,0.534826,0.004482,0.25648,0.004481,0.139161,0.004482,0.056088,0.534826
2730,Air Canada rouge,Economy Class,1.0,no,"✅ , |  My husband and I traveled to and from Athens from Toronto on Air Canada Rouge flights. The crew on board was an unhappy bunch. No service with a smile. The plane was dirty and we were crammed in like sardines. There was no snack offered before landing in Athens. The breakfast was a piece of banana bread wrapped in saran wrap served with coffee or juice.  I am furious that there was a menu for items for purchase that in fact were not available except for items on page 3 which included licorice and potato chips. How could there not be water and other food items available for sale on an international flight? I guess having a captive audience means you can arbitrarily choose to limit menu options. If this is the case, tell passengers ahead of time so they are not at your mercy. I am very disappointed and will never fly Air Canada rouge again.",5,0.523243,0.002203,0.289504,0.002204,0.002203,0.002205,0.523243,0.178437
2731,Air China,Economy Class,6.0,no,"Vienna to Beijing. The service is very friendly and kind, especially when you can speak Chinese, but in general, they are always polite and helpful also in the economy class. The food is OK for me it’s too tasteless and boring, my family said that the food was “edible”. The Entertainment system in front of you is not the best, often it doesn’t react to your touch commands. The movie selection was quite decent there are western and Chinese films. On the Airbus 330-300 there is no Wifi. Honestly, I don’t know if there is wifi in other plane types of this airline but on the airbus 330-300 there is no connectivity. All in all, Air China certainly isn’t the best airline, but it is also not the worst airline.",5,0.898154,0.002808,0.002809,0.087786,0.002812,0.002808,0.898154,0.002823
2732,AirAsia,Economy Class,1.0,no,"Sibu to Kuala Lumpur. Worst ever airline services on earth. From top to ground level. Arrogant ground staff and arrogance flight attendance. Terrible, terrible, terrible.",6,0.732808,0.007951,0.007973,0.007957,0.007973,0.007954,0.227384,0.732808
2733,Breeze Airways,Economy Class,2.0,no,"Constant delays and after waiting some four hours, the flight was canceled yesterday - or rather ""delayed"" overnight to the next morning. Communication and information was spotty and no customer service number. We were told via email that because of FAA requirements, the crew had to rest. I checked in this morning at 8:30 am for a 10:20 flight only to be informed via email that the flight was now delayed until 11:50. Will I ever get off the ground and get home? What t fresh horror awaits us today at the hands of the bumbling Breeze? My advice: Do not travel Breeze Airways. Book another airline.",3,0.487193,0.18044,0.00299,0.00299,0.487193,0.235191,0.088204,0.002993
2734,Flair Airlines,Economy Class,1.0,no,"All the reviews are true. Arrived at the airport on time was told flight was on time. 1 hour before departure was told flight delayed by 5 hours because they they had a mechanical failure with another aircraft and they were taking our aircraft to replace the broken aircraft. When I asked customer service rep his exact words were ""you get what you pay for!"" Swoop was $150 more. Oh and after I bought and paid for tickets my credit card was charged another $500 for fees. Not reputable at all! Crooked and dishonest!",4,0.550348,0.264336,0.00342,0.003414,0.171662,0.550348,0.003412,0.003407
2735,Jet Airways,Economy Class,1.0,no,"Apart from the shoddy inflight service and poor facilities on the flight, Jet Airways customer service is by far the worst I’ve ever come across. They lost my bag even though I paid an extra baggage fee and despite my umpteen efforts to communicate with them over the phone they could never provide any useful information. Jet Airways have really succeeded in creating an impression as the worst customer service experience I’ve ever received. A real embarrassment to the airline industry. Your company really needs to learn a few things about customer relations before you become an international airline company. Despite paying an additional $200 luggage fee they still lost my bag. This happened on 5th January 2019. I was told I would be reimbursed for my expenses as I didn’t have a single piece of clothing as a result of their negligence. After having purchased the bare necessities I provided them with the bills that I was going to need, I was told the matter would be resolved no later than the 17th January, but it wasn’t. When I called on the 18th I was given a date of the 23rd for the same and then the 28th. They just keep going round in circles. They really need to open their eyes and see how other airlines Lufthansa, American Airlines, British Airways to name a few give priority to their customers even if they are a little disappointed. You will never be receiving any business from my end at least. Thank you for nothing so far and take responsibility for your negligence.",4,0.48748,0.001166,0.103055,0.26286,0.001167,0.48748,0.143104,0.001168
2736,Vueling Airlines,Economy Class,1.0,no,"If you want to fly an airline that makes you think that Ryanair is a luxury airline, then this is for you. I am a frequent flyer and in all the years of flying I would say this was the worst experience I have had. It began with check in. I checked in in advance to save time except that baggage drop off took much longer than the other line. Much longer. The wait was close to 90 minutes. No informed staff to offer clear directions either. Then flight delayed massively without announcement and without staff to assist. And no food vouchers even. Avoid like the plague. Any savings you imagine making this worthwhile are not worth it.",0,0.562746,0.562746,0.17697,0.002608,0.002612,0.002611,0.249847,0.002606
2737,American Airlines,Economy Class,1.0,no,"Augusta to Albuquerque via Charlotte. American Airlines flies most Eastern US Flights through a Charlotte Hub. Their timing in Charlotte does not account for the ""chain of comedy"" error that are built into domestic flights governed by the TSA. In a recent round trip from Augusta GA to Albuquerque NM the return was routed from Albuquerque to Phoenix to Chicago to Charlotte to Augusta. The lay-over in CLT was scheduled as 56 minutes. The flight in Chicago did not board until 25 minutes after scheduled. The pilot taxied to a runway, waited 10 minutes and announced windspeed was too high to take off, waited another 15 minutes, then taxied to another runway where he announced the wind speed was fine, we were 5th in line for take off. Arrived in CLT and deboarded at 10:12 PM at terminal B16, connecting flight doors close at E24, 10:20 PM. Needless to say, missed flight. American Airline customer service unapologetically offered a hotel and a 9:30 AM flight the next day as only option. Problem - had appointment that I could not miss at 930 AM in Augusta. I pushed it - wanted a rental, AA agent got a bit nasty. No rentals available, took car service back (probably cheaper than a 1 way rental in the end). Still arguing with AA - they claim total liability is $90 - the land mile % of total trip that was unused. They blame wind, weather, airport flight controllers and ""me"". I have been an engineer and project manager for almost 20 years, part of the measurement of my job performance is my ability to meet schedule commitments. Why is it that AA believes meeting schedule commitments is optional?",3,0.600158,0.227411,0.00101,0.070621,0.600158,0.098779,0.001012,0.001009
2738,Singapore Airlines,Economy Class,3.0,no,"LHR-SIN. I couldn't book the open-jaw route I wanted on SQ's awful website so booked it as a codeshare with Virgin Atlantic which made online check-in impossible - VS site said the operating airline was someone else and SQ said the booking had been made through a different airline. I phoned VS and they were worse than useless SQ at least sympathised and the gent I spoke to said he would send a message to LHR requesting the seat I was hoping for. I was one of the last to check-in and indeed a window on the left had been saved for me so kudos for that. Boarding was OK although the cabin crew in my area didn't speak much English which complicated some pax requests for reseating. First meal service was OK lots of movies but not many good ones seat comfortable and managed some sleep. One reason I booked SQ was to enjoy an Asian style breakfast so you can imagine my frustration that despite distributing a lavish eight page printed menu to economy passengers which included three breakfast options (including a tasty-sounding pork and noodles exactly what I'd had in mind) they were only able to offer ""chicken sausage with frittata"" which was as disgusting as it sounds. Arrived on time and customs and baggage claim was pretty quick. Beyond being deposited at the destination safely and on time SQ fell short of expectations. Will not go out of my way to fly them again.",5,0.621748,0.001185,0.001186,0.165424,0.001184,0.171798,0.621748,0.037475
2739,Southwest Airlines,Economy Class,3.0,no,"After being delayed 4 hours in Raleigh Durham I caught a flight to Baltimore and on to Kansas City. I sat in an aisle seat next to a large 300+ pound man. Obviously I leaned out into the aisle to accommodate for the gentleman. My feet never were in the aisle but my shoulder was. Throughout the 2.5 hour flight I was bumped progressively harder in my shoulder 8 times by the only female flight attendant on staff. Never once when she was walking towards me from the front. Always a fast paced bump to my shoulder as she walked past me in the other direction. Never once an ""excuse me"" or a turn around to see what she'd just hit. Seemed pretty intentional after the last one before landing in KC. Maybe she would be of more use loading bags somewhere away from others?",1,0.397244,0.204721,0.397244,0.002107,0.236964,0.002107,0.154752,0.002104
2740,Aerolineas Argentinas,Economy Class,,no,I was booked on flight AR1893 USH-FTE 2nd Jan 2014 departing at 13.35. Arrived at the airport at 12.00 facing a long queue due to problems with check in system. Around 45 min prior the flight departure while still queuing for check in they announced our flight cancelled. They made us wait until 19.00 to tell us that we had to come back tomorrow for more info. We were given no food not hotel organised. Staff at the airport were arrogant refusing to speak English to non Spanish speaking customers and uninformative. Never again!,0,0.560084,0.560084,0.002865,0.301936,0.002871,0.126502,0.002868,0.002874
2741,Turkish Airlines,Economy Class,3.0,no,"The first time they could not accommodate my date change. So they made me purchase a whole new ticket for my daughter and me in the promise of refunding my previous ticket. Never happened! They have this system in place where I could leave feedback which I did with no help just more and more excuses as to why I was not entitled to the refund. I entered the wrong Surname for my daughter because I kept my maiden name and I immediately sent her passport info to this ""feedback"" system. They told me I had to purchase another ticket for my daughter with the same promise of a refund! I was $3,000 in the hole and got angrier by the minute when I saw Expedia flights $2,000 cheaper for the same route. In total I called and spoke to 10 people with no success. I will never fly them again they are rude.",4,0.720144,0.002352,0.002351,0.268111,0.00235,0.720144,0.002347,0.002345
2742,Air Canada,Economy Class,1.0,no,"Honolulu to Deer Lake via Vancouver. My family's wonderful Hawaii trip had a very upsetting ending due to Air Canada's horrible service. We endured multiple flight delays and cancellations due to technical issues with their planes and had to pay for three hotel rooms out of pocket to accommodate our 8-month old baby and my elderly parents who would have been stranded overnight in two separate cities. It took us 2+ days to get back home (instead of the scheduled 23 hours). Our returning flight AC1830 was delayed due to technical issues. We found out about the delay when we arrived at the airport around 7:00 pm (no previous warning) and the departure was initially postponed from 10:00 pm to 3:45 am but got delayed again to 4:15 am early in the morning. AC told us that since they didn't cancel the flight they were not responsible to book us a hotel room despite the fact that we had an infant and two seniors travelling with us. I couldn't understand how AC expected families with small children and babies to deal with this - sleep on the airport floor? We decided to book a hotel room on our own since we have 20+ hours flight ahead of us and an infant baby travelling with us. A motel room with airport shuttle cost us $200+tax USD/room due to the last minute booking. AC did postpone the departure again from 3:45 to 4:15 am. Neither my husband nor I was able to sleep well as we were afraid to miss our flight. This was only the beginning of our horrible experience. We were supposed to have two connecting flights after arriving in Vancouver (VAN-TOR, TOR-DL). Due to this first delay, AC had to cancel our subsequent flights and rebook the rest of our trip. Instead of flying to Deer Lake on the same night we arrived in Toronto, we had to stay in Toronto overnight. However, AC couldn't give us the rest of our boarding passes, nor could it book a hotel in Toronto for us. The agent in Honolulu told us that we needed to get the hotel from AC's customer service in Toronto once we got there. AC's flight from Vancouver to Toronto got delayed again and the plane did not land in Toronto airport until 10:45 pm on May 2nd. By the time we got off the plane it was almost 11:30pm. There were 50+ people in line at the AC customer service kiosk, while only two to three agents were working. The line hardly moved and after midnight an agent came to the line telling us all the hotels around the airport were sold out and we had to look for hotels on our own. He said the desk would be closing in 30 minutes and the agents would leave despite there were still so many of us unserved. He told us to call AC to rebook our flights. He also told us to find hotel on our own and AC will reimburse up to $100 CAD per room. Seriously, I want to ask AC where to find a hotel room cost $100 or less nowadays?? As we learned that we wouldn't be helped by anyone at the desk, my husband started to call AC about our booking and I started looking for hotel rooms for us since we were all exhausted and I did not want my super-exhausted baby to sleep on the floor in the airport. As it was after midnight already, I couldn't book a room on Expedia or other online booking website as they couldn't take May 2nd as the check-in date. Therefore I started calling every hotel around the airport. Finally a hotel had two rooms available and they cost us $169+taxes although the regular online booking price is no more than $128, thanks to AC for causing the last min booking.",3,0.692376,0.000475,0.058121,0.151908,0.692376,0.084798,0.000475,0.011846
